Creature ID,Genome
20,"('IH', 'Sir', 4, -0.637834707151796);('HO', 0, 'Mfd', np.float64(-0.3735766825554951));('IH', 'Bfd', 3, 0.18135821002145236);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Rnd', 2, -0.05843115757917183);('IH', 'Pop', 6, -0.22891698299362684);('IH', 'LPF', 5, -0.9398769101153455);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Sg', 5, np.float64(0.008860011944484103));('HO', 4, 'Mfd', 0.8103162165445568);('IH', 'Sir', 4, -0.637834707151796);('HO', 0, 'Mfd', -0.5317982249516042);('HO', 2, 'Mfd', -0.2637875244401304);('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('IH', 'Bfd', 3, 0.18135821002145236)"
21,"('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('HO', 4, 'Mfd', 0.8103162165445568);('HO', 4, 'Mfd', 0.6450739821489437);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Sir', 3, 0.9639463392384282);('IH', 'BD', 2, np.float64(0.7059062175734038));('HO', 2, 'Mfd', 0.4706939960036298);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'LBf', 5, np.float64(0.25815039020412883));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Pop', 2, 0.07899143578695345)"
22,"('IH', 'Sfd', 4, np.float64(-0.8618552746906627));('IH', 'Sir', 4, -0.637834707151796);('IH', 'BDx', 4, 0.47681123793342284);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 4, 'Mfd', 0.40998472998213975);('IH', 'Age', 4, 0.8805106710905759);('HO', 3, 'Mfd', -0.9445790796557088);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'Pfd', 4, np.float64(-0.794753758094599));('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Pop', 2, 0.07899143578695345);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 2, 'Mfd', 0.9732052632694248);('HO', 1, 'Mfd', -0.21834678144256414)"
23,"('IH', 'Rnd', 2, -0.05843115757917183);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 0, 'Mfd', -0.48056183758896287);('HO', 4, 'Mfd', 0.40998472998213975);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Osc', 3, -0.14902831962437157);('HO', 1, 'Mfd', -0.29473661658821415);('HO', 2, 'Mfd', np.float64(0.4830116260593822));('HO', 0, 'Mfd', np.float64(-0.3735766825554951));('IH', 'Sfd', 5, -0.3149420598455259);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('HO', 4, 'Mfd', 0.40998472998213975);('HO', 0, 'Mrn', -0.05436384262378535);('IH', 'LPF', 3, 0.514074902224009)"
24,"('HO', 0, 'Mfd', -0.47778896992689157);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 2, 'Mfd', 0.8800738862798034);('IH', 'BDx', 0, -0.30870655124704394);('IH', 'Pfd', 4, np.float64(-0.8320258292431332));('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Osc', 3, -0.14902831962437157);('IH', 'Pop', 4, np.float64(0.4756746768760105));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Rnd', 0, np.float64(-0.40752436904903394));('HO', 3, 'Mfd', -0.9445790796557088);('HO', 2, 'Mfd', 0.9732052632694248);('IH', 'BD', 3, -0.19803359055135306);('IH', 'BDx', 4, 0.9503512111206192)"
25,"('IH', 'LBf', 5, 0.15006938106579648);('IH', 'LPF', 3, 0.514074902224009);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Sfd', 5, -0.3149420598455259);('IH', 'Plr', 3, 0.17034864276340334);('IH', 'BD', 6, -0.5376078667480122);('IH', 'BDx', 3, np.float64(0.8336712932311756));('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'BDx', 4, 0.9503512111206192);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'LBf', 5, np.float64(0.25815039020412883));('HO', 0, 'Mfd', -0.47778896992689157);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.48056183758896287)"
26,"('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Pfd', 6, np.float64(0.6873201435771115));('HO', 2, 'Mfd', np.float64(0.40035697364000483));('HO', 0, 'Mfd', np.float64(-0.3735766825554951));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Sfd', 5, -0.3149420598455259);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.47778896992689157);('HO', 2, 'Mfd', -0.2637875244401304);('HO', 4, 'Mfd', 0.6450739821489437);('IH', 'BDx', 4, 0.9503512111206192);('HO', 3, 'Mfd', -0.9445790796557088);('IH', 'BDx', 3, np.float64(0.8336712932311756));('HO', 0, 'Mfd', -0.48056183758896287)"
27,"('IH', 'BD', 1, 0.3255110212965773);('IH', 'LPF', 3, 0.514074902224009);('IH', 'BDy', 5, -0.7107084609002312);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Plr', 4, 0.14301530103984605);('IH', 'LBf', 5, 0.15006938106579648);('IH', 'BDx', 0, np.float64(-0.3294627164658543));('IH', 'Plr', 3, 0.17034864276340334);('HO', 0, 'Mfd', -0.48056183758896287);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDy', 5, -0.7107084609002312);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'BDx', 4, 0.9503512111206192);('HO', 0, 'Mrn', -0.05436384262378535);('IH', 'BDx', 3, np.float64(0.8336712932311756))"
28,"('IH', 'BDx', 4, 0.9503512111206192);('HO', 4, 'Mfd', 0.8103162165445568);('HO', 0, 'Mfd', -0.47778896992689157);('IH', 'Pfd', 4, np.float64(-0.794753758094599));('HO', 4, 'Mfd', 0.40998472998213975);('IH', 'BDx', 4, 0.9503512111206192);('HO', 4, 'Mfd', 0.40998472998213975);('IH', 'BDx', 4, 0.9503512111206192);('IH', 'BDx', 3, np.float64(0.8336712932311756));('IH', 'Sg', 5, np.float64(0.008860011944484103));('IH', 'LPF', 5, -0.9398769101153455);('IH', 'BDx', 4, np.float64(1.0));('IH', 'Pfd', 4, np.float64(-0.794753758094599));('IH', 'BDx', 4, 0.9503512111206192);('HO', 2, 'Mfd', -0.2637875244401304)"
29,"('IH', 'BDy', 5, -0.7107084609002312);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'BDx', 3, np.float64(0.8336712932311756));('IH', 'BDx', 4, 0.9503512111206192);('IH', 'Pfd', 6, 0.8781835049890583);('IH', 'BDy', 5, -0.7107084609002312);('HO', 0, 'Mfd', -0.5317982249516042);('IH', 'Plr', 5, -0.47491579344346024);('IH', 'Osc', 3, -0.14902831962437157);('IH', 'Rnd', 0, np.float64(-0.36698444933992935));('IH', 'Bfd', 3, np.float64(-0.29524594150729133));('IH', 'Sir', 4, -0.637834707151796);('IH', 'Pop', 6, np.float64(0.252236055185182));('IH', 'Sg', 5, np.float64(0.008860011944484103))"
