Creature ID,Genome
32,"(IH,Bfd,4,-0.567684283203459);(IH,Pop,2,0.33368615760354925);(HO,3,MX,0.18867312520209434);(HO,4,LPD,0.39305321566121565);(IH,BDy,2,0.265800981157456);(HO,6,Kill,-0.7696168919581565);(IH,Rnd,4,-0.9320065306109846);(HO,1,MY,-0.21222997090536544);(IH,Age,1,-0.5518614548293101);(HO,5,MX,-0.5709784868494231);(IH,Sfd,5,-0.33421231276289887);(IH,Blr,6,0.7205137551204059);(IH,LMy,1,0.17598405254646954);(IH,Blr,6,0.7205137551204059);(IH,Rnd,4,-0.06259061685682066)"
33,"(HO,1,OSC,0.28694877183391365);(HO,1,Mfd,0.9101706415890596);(IH,Sir,4,-0.4406362471423868);(HO,2,Mrn,-0.6647821621193191);(HO,4,LPD,0.39305321566121565);(IH,Plr,1,-0.8623051358805602);(IH,Ly,4,0.5322869235720575);(IH,Rnd,2,-0.5930027510996914);(IH,BD,4,-0.24644846421208166);(IH,BDy,4,0.12918374429884394);(IH,Sfd,5,-0.960892344219185);(IH,LMy,4,0.4092593476685864);(HO,3,Res,0.8776097879330929);(HO,0,Mrv,-0.48672109979422884);(HO,2,MY,0.8717715536736586)"
34,"(IH,BD,6,-0.610625032454523);(IH,Age,6,0.7426208485766925);(IH,Plr,5,0.7682570704414309);(HO,2,OSC,0.7023365107525077);(IH,LBf,6,-0.032783742019366624);(HO,2,Mrn,-0.6647821621193191);(HO,0,MY,0.6149331143480272);(HO,5,Mfd,-0.6128841840819144);(IH,Pfd,3,0.011337723669141653);(IH,Rnd,3,0.6518478140041919);(IH,Sg,0,0.3617346282989351);(HO,0,MRL,-0.04323548408532352);(IH,Sfd,3,0.9727916526049396);(IH,Pop,0,0.6177973869100333);(IH,Plr,5,0.030737095397352032)"
35,"(HO,1,MX,-0.0027807251420974358);(IH,Gen,6,0.852262791915372);(HO,0,LPD,-0.5992352363926037);(IH,LPF,0,-0.7789190720436951);(IH,Sfd,6,0.6802353101688667);(HO,1,OSC,-0.5063310097461216);(HO,1,LPD,-0.7607397627963286);(IH,Lx,6,-0.4614928571409205);(HO,6,OSC,-0.9374424120072766);(HO,3,Mrn,0.5814867844975322);(HO,5,Mrn,0.31275215298829373);(IH,LBf,5,-0.7609503361381309);(HO,1,Mfd,0.9101706415890596);(IH,Rnd,5,0.8013276570557162);(IH,Bfd,5,-0.18115791134053705)"
36,"(IH,Plr,3,-0.1648318241651383);(IH,LPF,1,0.6728618181158095);(HO,0,SG,0.8715502134702122);(IH,LBf,3,0.36347142455263937);(HO,0,MY,0.6149331143480272);(IH,LPF,0,-0.631989130607457);(IH,LBf,1,0.04136850760841937);(HO,2,Mrn,0.428379068494795);(IH,LBf,1,0.04136850760841937);(IH,Blr,6,0.8003634196059077);(HO,0,OSC,0.95372230694527);(IH,Ly,3,0.5705761167236021);(IH,LPF,0,-0.7789190720436951);(HO,5,Mfd,-0.8827738230103477);(IH,LPF,1,-0.27987758005672214)"
37,"(IH,Bfd,3,0.8637001071244021);(HO,1,MX,-0.05598048427435498);(IH,Sir,6,0.60082568139625);(HO,4,MX,-0.8629564518891333);(HO,1,Kill,-0.06674855281968828);(HO,0,Mfd,-0.4178698830889498);(HO,2,MY,-0.6180690607934765);(IH,Age,5,-0.10222771506395034);(HO,6,MX,0.46877965772993346);(IH,LBf,2,-0.4977385386563068);(IH,Bfd,1,0.4958707810072751);(IH,Blr,1,0.19820267418901172);(IH,Pop,5,0.42300640983585236);(HO,4,Kill,-0.946600296441966);(HO,5,Mrn,-0.7121302942399472)"
38,"(IH,Blr,2,0.10092530013208512);(HO,6,Mfd,-0.47077106208486863);(HO,4,Res,0.9939019333665484);(IH,Gen,5,-0.4640164935192852);(IH,Plr,5,0.030737095397352032);(IH,LPF,2,0.398476852754046);(HO,2,Mrn,0.8778179377339905);(IH,Osc,1,-0.9372979705133295);(HO,3,Mrn,-0.8115293137410013);(IH,BDx,0,-0.957997608594102);(HO,4,Kill,-0.946600296441966);(HO,0,SG,-0.3422838061502722);(HO,5,Mrv,0.8411243249590783);(HO,5,Res,0.9299485226403026);(HO,2,Res,0.5754677533392698)"
39,"(HO,3,Mfd,0.6952028209600822);(HO,5,SG,0.7159211611324661);(HO,4,Mfd,-0.7864354425088238);(HO,2,Mfd,0.9099399805321582);(HO,4,MY,0.26642569058134846);(HO,2,OSC,0.6453976764970708);(IH,Sfd,2,-0.19470789223616758);(IH,Sir,6,-0.3916444486394983);(HO,6,MY,-0.6821802678002835);(IH,Plr,3,0.5972830863300986);(HO,4,SG,-0.36208110048131936);(IH,Rnd,5,-0.9621384986305035);(HO,1,MY,-0.6173626590951939);(HO,6,LPD,-0.5679425489721124);(HO,0,Kill,-0.9181013649304006)"
40,"(HO,4,MRL,0.2612171241121377);(IH,Gen,5,-0.7229863132180228);(HO,0,LPD,0.9947062617122717);(HO,5,MRL,-0.30090505578423166);(HO,0,Kill,-0.9181013649304006);(IH,Sfd,4,-0.8704363184910902);(HO,6,MX,0.46877965772993346);(IH,LBf,1,0.04136850760841937);(IH,Plr,3,-0.1648318241651383);(HO,5,MRL,0.38234673577103684);(IH,Age,1,0.2705776802283706);(HO,1,MX,-0.05598048427435498);(IH,Plr,0,-0.8464548150251705);(IH,BD,1,0.9284878840717594);(IH,Blr,6,0.04175776611883908)"
41,"(HO,4,LPD,-0.5768165281414712);(HO,4,Mfd,-0.21446530634365746);(HO,0,SG,-0.6633162233637504);(HO,5,Res,0.7581486652233089);(HO,6,MX,0.46877965772993346);(IH,Pfd,5,0.06465852916483472);(HO,2,Mrv,-0.7159263702899183);(IH,Gen,5,0.14006934338350563);(HO,4,Mfd,-0.7864354425088238);(HO,1,MY,-0.6173626590951939);(HO,4,Mrn,0.029440006756669357);(HO,5,SG,0.6817933943782102);(IH,Pfd,4,0.7555179840404758);(HO,4,SG,-0.7459656733826787);(HO,4,MX,-0.862195212087068)"
42,"(IH,Sg,0,0.6287536248306032);(IH,BDy,2,0.265800981157456);(IH,Pop,5,-0.14931777341805863);(IH,Pfd,3,-0.43817042535365935);(IH,Blr,6,-0.6167675432316502);(HO,6,LPD,-0.5679425489721124);(HO,0,SG,-0.6633162233637504);(IH,Pfd,4,0.7555179840404758);(HO,3,SG,0.414772680708855);(HO,6,Mfd,-0.47077106208486863);(IH,Bfd,0,0.9888937139905456);(HO,1,Mrn,0.50493401696116);(IH,LBf,2,-0.48274536430914106);(HO,0,MX,-0.5978332747947201);(HO,5,Mfd,-0.8827738230103477)"
