Creature ID,Genome
20,"('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Lx', 6, -0.8386922527806917);('IH', 'Osc', 3, 0.714823536305274);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'LMx', 6, -0.4726367769094466);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Pop', 5, 0.0914462803522067);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Rnd', 1, 0.9585204672403618)"
21,"('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Sg', 4, 0.5497233032688309);('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'LPF', 4, 0.9346181709242747);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Gen', 2, np.float64(0.5270516976386959));('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'LPF', 4, 0.9346181709242747);('HO', 2, 'Res', np.float64(-0.6500069227320622));('IH', 'LPF', 4, 0.9346181709242747);('IH', 'Blr', 1, -0.0775942138705692)"
22,"('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Gen', 4, 0.46756891797161626);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Gen', 4, 0.46756891797161626);('HO', 4, 'Mrn', -0.9164905112010036);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Lx', 6, -0.8386922527806917);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Pop', 5, 0.0914462803522067);('IH', 'Lx', 6, np.float64(-0.8405700401222888));('IH', 'LMy', 1, np.float64(0.49961612923053456));('IH', 'Blr', 1, -0.0775942138705692)"
23,"('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Sfd', 6, 0.45963388670651484);('IH', 'Bfd', 0, -0.3315953313125095);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Plr', 6, 0.756761931049418);('HO', 2, 'LPD', -0.539351102372962);('IH', 'Plr', 6, 0.756761931049418);('IH', 'Lx', 2, np.float64(1.0));('IH', 'BDx', 4, 0.3460578759364996);('IH', 'Rnd', 1, 0.9585204672403618);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Sir', 6, np.float64(1.0));('IH', 'Blr', 1, -0.11624724521436258)"
24,"('IH', 'Blr', 1, np.float64(-0.18466265680367178));('IH', 'Blr', 1, -0.11624724521436258);('HO', 4, 'OSC', 0.4918337715539085);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 1, 0.46917493934752286);('HO', 2, 'Res', -0.5002432130371102);('IH', 'BDx', 1, 0.46917493934752286);('HO', 2, 'Res', -0.5002432130371102);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Sfd', 6, 0.45963388670651484);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sg', 4, 0.5497233032688309)"
25,"('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Osc', 3, 0.714823536305274);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Rnd', 1, -0.101506499040392);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Plr', 6, 0.756761931049418);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sg', 4, 0.5497233032688309);('HO', 2, 'Res', -0.5002432130371102);('HO', 4, 'OSC', np.float64(0.560663824117742));('HO', 2, 'LPD', -0.539351102372962)"
26,"('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'Res', np.float64(-0.6500069227320622));('IH', 'Lx', 2, 0.9913640323840431);('IH', 'LMx', 6, -0.4726367769094466);('IH', 'Lx', 2, np.float64(1.0));('IH', 'Sir', 6, np.float64(1.0));('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'BDx', 4, 0.3460578759364996);('IH', 'BDx', 1, np.float64(0.5504861602434887));('IH', 'Gen', 4, 0.46756891797161626);('IH', 'Pop', 5, 0.0914462803522067)"
27,"('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'LPF', 4, 0.9346181709242747);('HO', 4, 'Mrn', -0.9164905112010036);('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'LPF', 4, 0.9346181709242747);('IH', 'Plr', 6, 0.756761931049418);('IH', 'LMy', 1, np.float64(0.49961612923053456));('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Rnd', 2, -0.478177664739595);('IH', 'LPF', 4, 0.9346181709242747);('IH', 'Pop', 5, 0.0914462803522067);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Rnd', 2, -0.478177664739595);('IH', 'LPF', 4, 0.9346181709242747)"
28,"('IH', 'Rnd', 1, 0.9585204672403618);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Plr', 6, 0.756761931049418);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Blr', 1, -0.0775942138705692);('HO', 2, 'Res', -0.5002432130371102);('HO', 4, 'OSC', np.float64(0.4846102129125903));('HO', 2, 'Res', -0.5002432130371102);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Sir', 6, np.float64(0.8374587610331513));('IH', 'Rnd', 2, -0.478177664739595);('IH', 'Plr', 6, 0.756761931049418);('IH', 'LPF', 4, np.float64(-0.861683043361167));('IH', 'Pop', 5, 0.0914462803522067);('HO', 4, 'OSC', 0.4918337715539085)"
29,"('IH', 'Sg', 4, -0.7485304522757494);('IH', 'Lx', 6, np.float64(-0.9015262814144727));('IH', 'Rnd', 2, -0.478177664739595);('HO', 4, 'OSC', np.float64(0.560663824117742));('IH', 'Sir', 6, np.float64(0.8374587610331513));('IH', 'BDx', 4, 0.0959161078720725);('IH', 'BDx', 1, 0.46917493934752286);('IH', 'Sir', 6, np.float64(1.0));('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Blr', 1, -0.0775942138705692);('IH', 'Bfd', 0, -0.3315953313125095);('IH', 'Rnd', 1, np.float64(0.9877961312110315));('IH', 'BDx', 4, 0.3460578759364996);('HO', 2, 'Res', -0.5002432130371102);('IH', 'Pop', 5, 0.0914462803522067)"
